customer,merchant,frequency
'C1590346257','M1649169323',1
'C1648096390','M480139044',1
'C34111179','M151143676',1
'C1038733568','M857378720',1
'C1087747329','M151143676',1
'C290140685','M151143676',1
'C712367267','M677738360',1
'C247656929','M692898500',1
'C426128777','M855959430',1
'C436675602','M480139044',1
'C583110837','M3697346',1
'C109617474','M1649169323',1
'C1981040988','M1535107174',1
'C145901862','M692898500',1
'C957324981','M1649169323',1
'C2116616608','M855959430',1
'C1395098424','M151143676',1
'C1305339250','M1600850729',1
'C548185127','M151143676',1
'C115603187','M855959430',1
'C197798791','M855959430',1
'C345742557','M1600850729',1
'C1321173882','M1535107174',1
'C2001133685','M855959430',1
'C1874220848','M1053599405',1
'C1315400589','M1600850729',1
'C1432312197','M857378720',1
'C1125717761','M1888755466',1
'C1659350842','M1600850729',1
'C401828466','M151143676',1
'C1708732499','M855959430',1
'C619451848','M547558035',1
'C567616900','M1053599405',1
'C899638721','M547558035',1
'C895429374','M1649169323',1
'C2062758473','M1649169323',1
'C980475207','M677738360',1
'C2061535111','M692898500',1
'C744126786','M1741626453',1
'C196806031','M1842530320',1
'C1049562739','M1535107174',1
'C688041542','M1946091778',1
'C983636862','M349281107',1
'C268949400','M1872033263',1
'C1282628311','M547558035',1
'C1591441443','M349281107',1
'C252172114','M855959430',1
'C1529207541','M1053599405',1
'C1840158336','M151143676',1
'C966984015','M151143676',1
'C369115109','M1888755466',1
'C1943207086','M855959430',1
'C1569014356','M209847108',1
'C2033310172','M692898500',1
'C1764447156','M495352832',1
'C1354768768','M495352832',1
'C907877340','M692898500',1
'C1597289593','M1649169323',1
'C1934785516','M349281107',1
'C761166755','M151143676',1
'C1434797923','M857378720',1
'C260927654','M1741626453',1
'C588719767','M1600850729',1
'C1935661715','M1600850729',1
'C628232611','M980657600',1
'C1893177739','M1649169323',1
'C722399783','M1400236507',1
'C1677624934','M692898500',1
'C1762043633','M692898500',1
'C185428348','M1535107174',1
'C1214628974','M1535107174',1
'C474894075','M151143676',1
'C1080719046','M855959430',1
'C1996249538','M840466850',1
'C835705223','M1888755466',1
'C594793398','M547558035',1
'C1918088317','M348875670',1
'C17359646','M1888755466',1
'C2092526272','M855959430',1
'C450548035','M209847108',1
'C830053540','M1946091778',1
'C1757210259','M923029380',1
'C1159034982','M1535107174',1
'C620327304','M209847108',1
'C429242189','M1946091778',1
'C99594781','M1842530320',1
'C823847346','M1741626453',1
'C1556534733','M17379832',1
'C1549367339','M855959430',1
'C1966964007','M857378720',1
'C2039473569','M1649169323',1
'C1275518867','M2122776122',1
'C1681976106','M209847108',1
'C1635987808','M1600850729',1
'C1156808163','M547558035',1
'C747175090','M1649169323',1
'C579648989','M692898500',1
'C2079384186','M1294758098',1
'C1237476993','M1294758098',1
'C324498528','M1888755466',1
'C268823556','M547558035',1
'C1825851538','M1535107174',1
'C276409392','M692898500',1
'C194301248','M923029380',1
'C1457086535','M151143676',1
'C1809104609','M1600850729',1
'C1358225719','M348875670',1
'C228882909','M1842530320',1
'C1605642067','M855959430',1
'C1454826238','M547558035',1
'C855112247','M151143676',1
'C684162308','M547558035',1
'C186469824','M1600850729',1
'C1911232863','M547558035',1
'C280778280','M1400236507',1
'C161101673','M349281107',1
'C1295945354','M349281107',1
'C1081944543','M1842530320',1
'C34111179','M857378720',1
'C1475486134','M855959430',1
'C1949984685','M547558035',1
'C1677202028','M855959430',1
'C1327124397','M855959430',1
'C732771224','M2122776122',1
'C422403315','M2122776122',1
'C457497998','M1872033263',1
'C861479162','M1600850729',1
'C352968107','M209847108',1
'C319933645','M855959430',1
'C158030246','M1600850729',1
'C799349963','M692898500',1
'C718589253','M1535107174',1
'C129386345','M692898500',1
'C1949984685','M1294758098',1
'C792341594','M1294758098',1
'C1141524074','M1842530320',1
'C1657925669','M209847108',1
'C996326258','M1888755466',1
'C1023694383','M480139044',1
'C168361707','M1888755466',1
'C1545573016','M1741626453',1
'C2085650948','M1600850729',1
'C1694039833','M547558035',1
'C954636025','M480139044',1
'C939735585','M209847108',1
'C1297358265','M840466850',1
'C1451561221','M855959430',1
'C354971512','M1913465890',1
'C537423962','M1741626453',1
'C1089903335','M1600850729',1
'C668289079','M151143676',1
'C1358079072','M855959430',1
'C657290155','M151143676',1
'C1082462651','M923029380',1
'C688041542','M1053599405',1
'C91915601','M209847108',1
'C1862169273','M151143676',1
'C1983995504','M855959430',1
'C1895615571','M480139044',1
'C1407087523','M547558035',1
'C638119430','M1535107174',1
'C1205257074','M1198415165',1
'C1767734624','M209847108',1
'C1415453492','M1600850729',1
'C678697032','M2122776122',1
'C1584479959','M151143676',1
'C257664421','M980657600',1
'C227356089','M151143676',1
'C1719535099','M1600850729',1
'C1396978257','M547558035',1
'C869394149','M1198415165',1
'C76780537','M855959430',1
'C1367581052','M17379832',1
'C1089789227','M1741626453',1
'C626305923','M2122776122',1
'C334841918','M209847108',1
'C1079254393','M923029380',1
'C525850964','M923029380',1
'C1100337763','M1888755466',1
'C1303226190','M1600850729',1
'C1477499235','M1741626453',1
'C1956971543','M855959430',1
'C1072577677','M855959430',1
'C528277773','M209847108',1
'C359628860','M151143676',1
'C1280960686','M1649169323',1
'C694574500','M1872033263',1
'C39607150','M840466850',1
'C159913055','M1842530320',1
'C1129265408','M855959430',1
'C798268011','M1352454843',1
'C423379854','M1872033263',1
'C682814633','M855959430',1
'C1452504275','M1748431652',1
'C1811749392','M1888755466',1
'C567897093','M1842530320',1
'C560376591','M1842530320',1
'C656851338','M1748431652',1
'C1079254393','M1748431652',1
'C1869757503','M1352454843',1
'C321375878','M1535107174',1
'C986156699','M1600850729',1
'C1060018471','M840466850',1
'C1736027541','M1535107174',1
'C727658706','M855959430',1
'C1425441042','M2122776122',1
'C615281750','M1888755466',1
'C1307336396','M1888755466',1
'C257361511','M1600850729',1
'C1542345868','M209847108',1
'C1644158733','M151143676',1
'C1734487337','M348875670',1
'C656901929','M1294758098',1
'C1450140987','M1294758098',1
'C1918064652','M840466850',1
'C1411169363','M855959430',1
'C125481968','M151143676',1
'C1896850232','M855959430',1
'C1495486273','M480139044',1
'C2044183803','M855959430',1
'C1189231170','M209847108',1
'C430579454','M923029380',1
'C1489632788','M2011752106',1
'C1005495267','M209847108',1
'C1321173882','M1888755466',1
'C1736605496','M980657600',1
'C1744858817','M980657600',1
'C1267749701','M151143676',1
'C1175684338','M151143676',1
'C1182825160','M923029380',1
'C901400531','M1600850729',1
'C528877098','M1649169323',1
'C1288983259','M1535107174',1
'C1987405562','M1946091778',1
'C1782998558','M209847108',1
'C1022153336','M209847108',1
'C263489307','M980657600',1
'C1783127345','M151143676',1
'C566582492','M1842530320',1
'C128008012','M209847108',1
'C1499241933','M547558035',1
'C775533998','M151143676',1
'C967677653','M547558035',1
'C1538635916','M209847108',1
'C2060968828','M1842530320',1
'C602498884','M857378720',1
'C1394454342','M209847108',1
'C1489836575','M151143676',1
'C1345265337','M209847108',1
'C431496464','M692898500',1
'C1429394820','M855959430',1
'C944634193','M855959430',1
'C1965708710','M349281107',1
'C525850964','M692898500',1
'C993027768','M1873032707',1
'C1187353931','M1741626453',1
'C85388733','M495352832',1
'C1386324281','M480139044',1
'C1338396147','M151143676',1
'C391642320','M1842530320',1
'C58668191','M2122776122',1
'C1255221015','M1649169323',1
'C116386695','M923029380',1
'C1629765833','M855959430',1
'C1915276731','M480139044',1
'C775101977','M1842530320',1
'C792341594','M1741626453',1
'C912671040','M547558035',1
'C2016890783','M1649169323',1
'C1034685704','M151143676',1
'C1263107170','M209847108',1
'C984099618','M1600850729',1
'C827822455','M151143676',1
'C1512444326','M1946091778',1
'C1711699171','M855959430',1
'C323912860','M1600850729',1
'C1038215695','M980657600',1
'C1621026927','M855959430',1
'C1861613802','M1535107174',1
'C2084933658','M151143676',1
'C407219337','M209847108',1
'C1558803570','M45060432',1
'C1489078579','M1842530320',1
'C2064655298','M1649169323',1
'C193924578','M1946091778',1
'C1929968596','M855959430',1
'C1807970113','M151143676',1
'C2003246685','M1198415165',1
'C521213907','M495352832',1
'C744859144','M1600850729',1
'C1114685649','M480139044',1
'C206074131','M209847108',1
'C1476491893','M151143676',1
'C1683471006','M692898500',1
'C250546729','M1872033263',1
'C1684213034','M1535107174',1
'C1191796691','M1649169323',1
'C1452354279','M1600850729',1
'C437836513','M1842530320',1
'C575345520','M1741626453',1
'C1342118588','M1649169323',1
'C1082608644','M1600850729',1
'C1806963277','M1053599405',1
'C1602648292','M480139044',1
'C484268062','M1842530320',1
'C1385780363','M855959430',1
'C1279668658','M855959430',1
'C270217031','M677738360',1
'C1838494462','M692898500',1
'C1787239285','M349281107',1
'C12662072','M151143676',1
'C969635352','M1600850729',1
'C1232356156','M855959430',1
'C1965185304','M855959430',1
'C1648096390','M1535107174',1
'C1255236689','M151143676',1
'C1078351181','M547558035',1
'C1139909458','M1649169323',1
'C1867965524','M151143676',1
'C788955662','M1741626453',1
'C403994735','M1535107174',1
'C1254064510','M1842530320',1
'C259132706','M209847108',1
'C1625937550','M209847108',1
'C144783459','M480139044',1
'C1338125837','M1888755466',1
'C1040405455','M1535107174',1
'C1734948367','M1888755466',1
'C85075290','M1888755466',1
'C196806031','M45060432',1
'C1337923906','M1600850729',1
'C1801713151','M855959430',1
'C96508773','M151143676',1
'C833126375','M1741626453',1
'C764316727','M692898500',1
'C497246334','M1535107174',1
'C1641076533','M45060432',1
'C1920284556','M209847108',1
'C1708732499','M151143676',1
'C222098023','M1600850729',1
'C299734038','M547558035',1
'C1560676680','M3697346',1
'C213197624','M151143676',1
'C638838388','M151143676',1
'C535324444','M1741626453',1
'C1697472909','M151143676',1
'C333484923','M1600850729',1
'C821630606','M855959430',1
'C232369406','M151143676',1
'C1911232863','M1535107174',1
'C489185823','M2011752106',1
'C499129070','M1400236507',1
'C1769470125','M151143676',1
'C941334726','M209847108',1
'C1790520611','M209847108',1
'C1360481565','M1741626453',1
'C47809392','M1741626453',1
'C793132240','M692898500',1
'C897883896','M151143676',1
'C158319863','M1946091778',1
'C1089789227','M855959430',1
'C1297358265','M349281107',1
'C956794113','M1053599405',1
'C1677202028','M1888755466',1
'C2121874810','M855959430',1
'C1571595392','M855959430',1
'C808977147','M1352454843',1
'C759264122','M209847108',1
'C1394931354','M855959430',1
'C524644424','M151143676',1
'C2082605784','M1842530320',1
'C1718591511','M1842530320',1
'C1753498738','M855959430',1
'C525850964','M732195782',1
'C1224153830','M151143676',1
'C483912131','M692898500',1
'C393339341','M1872033263',1
'C1554849332','M1600850729',1
'C1897313368','M209847108',1
'C1394454342','M50039827',1
'C784763814','M50039827',1
'C2126019044','M855959430',1
'C1110919755','M209847108',1
'C71746980','M547558035',1
'C1196915447','M1600850729',1
'C354729496','M2122776122',1
'C296630818','M1649169323',1
'C893911190','M1535107174',1
'C1719044180','M855959430',1
'C1058652489','M209847108',1
'C1435043122','M1946091778',1
'C1491844959','M1946091778',1
'C668875156','M151143676',1
'C1134994937','M1946091778',1
'C1981089677','M151143676',1
'C25759288','M1946091778',1
'C1368438034','M209847108',1
'C1689772812','M151143676',1
'C2005671734','M209847108',1
'C1949984685','M480139044',1
'C555482626','M480139044',1
'C1240746302','M677738360',1
'C73760959','M348875670',1
'C1095604325','M855959430',1
'C1517749848','M1842530320',1
'C1438489717','M677738360',1
'C1294166760','M980657600',1
'C49915499','M855959430',1
'C1205257074','M692898500',1
'C1213002113','M151143676',1
'C212188289','M1198415165',1
'C1513653440','M151143676',1
'C1965496749','M855959430',1
'C477595630','M1842530320',1
'C2104185147','M151143676',1
'C1272326382','M732195782',1
'C378899672','M1053599405',1
'C655150548','M855959430',1
'C1156672988','M855959430',1
'C915739806','M1888755466',1
'C90150703','M480139044',1
'C1734287915','M1649169323',1
'C529768403','M1600850729',1
'C1175419672','M209847108',1
'C2015203999','M209847108',1
'C1048694975','M840466850',1
'C1234470601','M923029380',1
'C612230385','M1535107174',1
'C966602067','M855959430',1
'C861479162','M1313686961',1
'C359363895','M1600850729',1
'C1969430351','M349281107',1
'C1169771418','M1842530320',1
'C1226558289','M855959430',1
'C380911997','M1600850729',1
'C451189693','M480139044',1
'C1914057832','M855959430',1
'C450949430','M1535107174',1
'C26716153','M1649169323',1
'C1569014356','M151143676',1
'C1321889892','M692898500',1
'C1166683343','M209847108',1
'C843090653','M151143676',1
'C1090528803','M151143676',1
'C761166755','M855959430',1
'C121798652','M1053599405',1
'C1744280753','M1198415165',1
'C1991822900','M923029380',1
'C295362058','M923029380',1
'C1965708710','M1053599405',1
'C1256908044','M1842530320',1
'C1350793893','M151143676',1
'C1822295676','M980657600',1
'C441400844','M151143676',1
'C1287167517','M209847108',1
'C323226584','M1888755466',1
'C33469777','M151143676',1
'C1435653171','M547558035',1
'C1402381285','M855959430',1
'C616472041','M151143676',1
'C1480367576','M1294758098',1
'C592765908','M547558035',1
'C1240746302','M1649169323',1
'C1966686053','M692898500',1
'C1585648581','M677738360',1
'C1736605496','M1748431652',1
'C126638730','M1748431652',1
'C1385780363','M923029380',1
'C869807132','M1741626453',1
'C823379702','M151143676',1
'C1977646698','M980657600',1
'C1007572087','M1888755466',1
'C370861553','M1600850729',1
'C1667161948','M2080407379',1
'C1038215695','M2011752106',1
'C885237696','M2011752106',1
'C958780730','M840466850',1
'C1670779713','M1535107174',1
'C387520458','M1535107174',1
'C631654729','M677738360',1
'C848308923','M1053599405',1
'C2144330803','M480139044',1
'C39112485','M1842530320',1
'C1022713215','M692898500',1
'C1814131114','M855959430',1
'C1827713539','M495352832',1
'C294914134','M840466850',1
'C662396672','M151143676',1
'C1771537982','M1198415165',1
'C771207119','M349281107',1
'C810336569','M2011752106',1
'C874212917','M855959430',1
'C1014010834','M209847108',1
'C644590864','M2080407379',1
'C751786199','M1888755466',1
'C1899001756','M840466850',1
'C948004275','M209847108',1
'C1039035065','M1872033263',1
'C1257820473','M855959430',1
'C1408489165','M855959430',1
'C875900250','M1649169323',1
'C1258725927','M1649169323',1
'C1783127345','M855959430',1
'C2033310172','M1198415165',1
'C16723337','M692898500',1
'C402994775','M1294758098',1
'C353985741','M1053599405',1
'C965421722','M2122776122',1
'C1612798177','M1600850729',1
'C1285086629','M1888755466',1
'C1127983201','M1600850729',1
'C677561666','M1600850729',1
'C200882642','M480139044',1
'C1566647188','M209847108',1
'C1940951230','M1872033263',1
'C1956971543','M151143676',1
'C1931900243','M480139044',1
'C647089636','M1352454843',1
'C474894075','M855959430',1
'C2075699398','M1600850729',1
'C2126436338','M855959430',1
'C93241312','M1198415165',1
'C651594350','M1352454843',1
'C1784864427','M1600850729',1
'C1204780618','M1888755466',1
'C1214929092','M692898500',1
'C1598762673','M1946091778',1
'C1707421914','M1872033263',1
'C1098443227','M209847108',1
'C1711218892','M151143676',1
'C1057813963','M1535107174',1
'C481253497','M840466850',1
'C47809392','M1198415165',1
'C1490048317','M1198415165',1
'C395508103','M151143676',1
'C1942983218','M1842530320',1
'C1523854098','M1741626453',1
'C1379814778','M151143676',1
'C1943367280','M1600850729',1
'C1960353164','M209847108',1
'C435572486','M480139044',1
'C1466730207','M50039827',1
'C1258454385','M840466850',1
'C1953872129','M209847108',1
'C957771834','M1198415165',1
'C17589297','M1535107174',1
'C1598533502','M1198415165',1
'C566987196','M1842530320',1
'C499129070','M1748431652',1
'C356750222','M151143676',1
'C435637901','M1352454843',1
'C2082187659','M50039827',1
'C2112350124','M1535107174',1
'C648063518','M209847108',1
'C893911190','M855959430',1
'C1981764666','M480139044',1
'C1571595392','M1535107174',1
'C682529129','M855959430',1
'C1812935919','M1842530320',1
'C381528901','M855959430',1
'C1632932485','M151143676',1
'C1242643189','M855959430',1
'C2029229218','M1741626453',1
'C802590979','M1888755466',1
'C60351691','M840466850',1
'C1987405562','M1053599405',1
'C1844993068','M1535107174',1
'C886658445','M151143676',1
'C6433096','M2011752106',1
'C2110568911','M732195782',1
'C1757210259','M855959430',1
'C1703739582','M3697346',1
'C226102422','M547558035',1
'C1032319289','M209847108',1
'C1419235351','M209847108',1
'C69477057','M151143676',1
'C1705819997','M151143676',1
'C966984015','M677738360',1
'C1227773968','M1600850729',1
'C1316160034','M151143676',1
'C2138823885','M209847108',1
'C841817769','M1535107174',1
'C1018979501','M547558035',1
'C1187702596','M855959430',1
'C466769207','M209847108',1
'C2141677873','M1352454843',1
'C446179646','M3697346',1
'C797980818','M1842530320',1
'C16680464','M677738360',1
'C1559339990','M151143676',1
'C1439299369','M855959430',1
'C179390259','M923029380',1
'C381250974','M1600850729',1
'C1567160901','M480139044',1
'C1557448880','M1352454843',1
'C1789457872','M677738360',1
'C1816212551','M732195782',1
'C1141582476','M151143676',1
'C114981535','M1842530320',1
'C30374753','M1053599405',1
'C1944210063','M151143676',1
'C1370556911','M1649169323',1
'C1273692645','M692898500',1
'C525850964','M1888755466',1
'C1208123566','M495352832',1
'C684153556','M1600850729',1
'C1475317372','M1600850729',1
'C1509718305','M1872033263',1
'C1734585073','M1352454843',1
'C337291476','M209847108',1
'C1072577677','M349281107',1
'C1079254393','M209847108',1
'C363006417','M1352454843',1
'C672794326','M209847108',1
'C1669649966','M151143676',1
'C564489242','M151143676',1
'C1734487337','M1198415165',1
'C1811749392','M480139044',1
'C1847494890','M1741626453',1
'C1038722314','M151143676',1
'C1191069340','M349281107',1
'C1098443227','M50039827',1
'C1830714840','M855959430',1
'C476477241','M1600850729',1
'C1744581762','M855959430',1
'C1940107136','M50039827',1
'C1372889664','M1352454843',1
'C1564260047','M855959430',1
'C360019679','M151143676',1
'C2109575612','M151143676',1
'C571527976','M1535107174',1
'C133432771','M677738360',1
'C343982358','M923029380',1
'C1591908890','M1872033263',1
'C1147125608','M1198415165',1
'C1456029725','M1198415165',1
'C432449092','M1600850729',1
'C417912401','M677738360',1
'C781322360','M151143676',1
'C92426600','M1352454843',1
'C1158875335','M349281107',1
'C797980818','M855959430',1
'C2011457912','M151143676',1
'C1642006830','M1600850729',1
'C1755124222','M1888755466',1
'C810569063','M151143676',1
'C294914134','M1888755466',1
'C1155962240','M209847108',1
'C789852022','M1198415165',1
'C752270622','M855959430',1
'C980181294','M855959430',1
'C1600873622','M855959430',1
'C232369406','M209847108',1
'C1952580233','M3697346',1
'C1931900243','M3697346',1
'C808977147','M209847108',1
'C801383032','M209847108',1
'C126638730','M2122776122',1
'C179390259','M980657600',1
'C483485800','M1649169323',1
'C241071592','M1649169323',1
'C1324001180','M840466850',1
'C1739468858','M547558035',1
'C1129265408','M151143676',1
'C2005671734','M1842530320',1
'C1018653381','M1535107174',1
'C1791347994','M480139044',1
'C77017704','M151143676',1
'C34111179','M923029380',1
'C1827713539','M50039827',1
'C1476491893','M855959430',1
'C494777408','M151143676',1
'C1793075309','M1198415165',1
'C1058652489','M855959430',1
'C1564253251','M480139044',1
'C1435653171','M1535107174',1
'C39112485','M209847108',1
'C513710252','M692898500',1
'C1169771418','M840466850',1
'C867847701','M1600850729',1
'C1421006824','M209847108',1
'C1885719603','M209847108',1
'C914250073','M1888755466',1
'C1414374774','M1535107174',1
'C840928568','M1842530320',1
'C1273692645','M3697346',1
'C972314568','M3697346',1
'C1957046981','M1600850729',1
'C288727438','M1741626453',1
'C1105086283','M855959430',1
'C1708732499','M209847108',1
'C324262354','M547558035',1
'C130295904','M209847108',1
'C199512926','M209847108',1
'C1999699557','M1352454843',1
'C1396904959','M151143676',1
'C1815496848','M1600850729',1
'C476466255','M1600850729',1
'C717773873','M50039827',1
'C486662508','M1741626453',1
'C1251749294','M855959430',1
'C1924305208','M1198415165',1
'C1769470125','M855959430',1
'C1690923384','M1888755466',1
'C1890466358','M1649169323',1
'C1913044357','M1888755466',1
'C1978080967','M1535107174',1
'C1216919532','M923029380',1
'C2134043204','M1649169323',1
'C306839491','M1741626453',1
'C312072263','M692898500',1
'C204633978','M1352454843',1
'C186516178','M1313686961',1
'C1896850232','M1888755466',1
'C967677653','M1888755466',1
'C840054516','M547558035',1
'C750572020','M855959430',1
'C1395098424','M209847108',1
'C1529774854','M1600850729',1
'C261768480','M855959430',1
'C602096181','M349281107',1
'C334841918','M855959430',1
'C1355357191','M1198415165',1
'C720418898','M209847108',1
'C1887473486','M151143676',1
'C2112563194','M855959430',1
'C1092769857','M1600850729',1
'C447271561','M151143676',1
'C1655680166','M209847108',1
'C1646244537','M855959430',1
'C1844695541','M1842530320',1
'C1333537680','M855959430',1
'C1604376835','M732195782',1
'C183456137','M980657600',1
'C1341583263','M1053599405',1
'C496697462','M1888755466',1
'C5748649','M1535107174',1
'C1415704373','M1535107174',1
'C47809392','M1535107174',1
'C1267913176','M1946091778',1
'C1383269171','M1649169323',1
'C819690995','M1600850729',1
'C220694569','M1313686961',1
'C532118459','M151143676',1
'C1333661820','M151143676',1
'C1884342559','M151143676',1
'C1459624061','M855959430',1
'C25759288','M1842530320',1
'C85075290','M980657600',1
'C625569664','M1535107174',1
'C1268275182','M209847108',1
'C118437987','M45060432',1
'C1631930247','M980657600',1
'C1508373758','M151143676',1
'C1686676187','M1842530320',1
'C757503768','M50039827',1
'C2130327838','M980657600',1
'C695108722','M1872033263',1
'C274747841','M480139044',1
'C834963773','M151143676',1
'C1565058518','M855959430',1
'C1555517201','M855959430',1
'C181413412','M2011752106',1
'C1501782229','M1872033263',1
'C506565122','M1873032707',1
'C285984841','M1842530320',1
'C937166633','M1888755466',1
'C1417312384','M692898500',1
'C1171394321','M480139044',1
'C487569403','M151143676',1
'C1258953485','M151143676',1
'C2095938989','M855959430',1
'C460167545','M1872033263',1
'C1234470601','M692898500',1
'C369046885','M1649169323',1
'C628232611','M1198415165',1
'C448362974','M349281107',1
'C1034685704','M50039827',1
'C966214713','M923029380',1
'C2049382420','M923029380',1
'C952397244','M480139044',1
'C1104044396','M151143676',1
'C1149495561','M1535107174',1
'C82079505','M677738360',1
'C1411169363','M1842530320',1
'C1514973352','M1649169323',1
'C524035200','M1600850729',1
'C1966686053','M1198415165',1
'C1694165271','M1313686961',1
'C630392370','M547558035',1
'C528277773','M151143676',1
'C711451919','M547558035',1
'C1814746822','M1600850729',1
'C423891632','M1842530320',1
'C1535419154','M547558035',1
'C298317613','M692898500',1
'C2128263275','M348875670',1
'C1427539236','M480139044',1
'C1857873865','M1649169323',1
'C1806422891','M1888755466',1
'C2117938225','M1535107174',1
'C1161927918','M209847108',1
'C1611113200','M209847108',1
'C706757729','M151143676',1
'C837031785','M209847108',1
'C1014847580','M923029380',1
'C682814633','M1842530320',1
'C366601563','M209847108',1
'C739658140','M495352832',1
'C1201848792','M209847108',1
'C881073190','M855959430',1
'C359698649','M1842530320',1
'C61142824','M1198415165',1
'C707755349','M855959430',1
'C188991095','M855959430',1
'C840928568','M209847108',1
'C412473162','M692898500',1
'C1297358265','M1946091778',1
'C1359606474','M855959430',1
'C1859195979','M2080407379',1
'C1502465707','M2080407379',1
'C286580355','M151143676',1
'C831905583','M692898500',1
'C1018153896','M692898500',1
'C1701338775','M1842530320',1
'C395508103','M1872033263',1
'C287182059','M547558035',1
'C900337975','M547558035',1
'C1327124397','M209847108',1
'C2022102158','M1888755466',1
'C399389739','M855959430',1
'C1154612561','M1842530320',1
'C1402369177','M151143676',1
'C1155962240','M1842530320',1
